Date,Adj Close,Portfolio
2015-01-02,172.0752410888672,10000.0
2015-01-05,168.9676055908203,10000.0
2015-01-06,167.37611389160156,10000.0
2015-01-07,169.4618377685547,10000.0
2015-01-08,172.4689178466797,10000.0
2015-01-09,171.08682250976562,10000.0
2015-01-12,169.74661254882812,10000.0
2015-01-13,169.26914978027344,10000.0
2015-01-14,168.2472381591797,10000.0
2015-01-15,166.70599365234375,10000.0
2015-01-16,168.89227294921875,10000.0
2015-01-20,169.2523956298828,10000.0
2015-01-21,170.10678100585938,10000.0
2015-01-22,172.636474609375,10000.0
2015-01-23,171.68988037109375,10000.0
2015-01-26,172.09197998046875,10000.0
2015-01-27,169.82203674316406,10000.0
2015-01-28,167.64414978027344,10000.0
2015-01-29,169.1938018798828,10000.0
2015-01-30,167.0662384033203,10000.0
2015-02-02,169.1351318359375,10000.0
2015-02-03,171.58102416992188,10000.0
2015-02-04,170.9276580810547,10000.0
2015-02-05,172.6531982421875,10000.0
2015-02-06,172.17575073242188,10000.0
2015-02-09,171.40516662597656,10000.0
2015-02-10,173.231201171875,10000.0
2015-02-11,173.3316650390625,10000.0
2015-02-12,174.9986114501953,10000.0
2015-02-13,175.71890258789062,10000.0
2015-02-17,175.995361328125,10000.0
2015-02-18,176.0120849609375,10000.0
2015-02-19,175.886474609375,10000.0
2015-02-20,176.94189453125,10000.0
2015-02-23,176.91676330566406,10000.0
2015-02-24,177.41932678222656,10000.0
2015-02-25,177.26858520507812,10000.0
2015-02-26,177.05914306640625,10000.0
2015-02-27,176.45608520507812,10000.0
2015-03-02,177.5701141357422,10000.0
2015-03-03,176.8413848876953,10000.0
2015-03-04,176.09584045410156,10000.0
2015-03-05,176.2884979248047,10000.0
2015-03-06,173.80909729003906,10000.0
2015-03-09,174.529541015625,10000.0
2015-03-10,171.69830322265625,10000.0
2015-03-11,171.2962188720703,10000.0
2015-03-12,173.47413635253906,10000.0
2015-03-13,172.4102783203125,10000.0
2015-03-16,174.71377563476562,10000.0
2015-03-17,174.1944122314453,10000.0
2015-03-18,176.2884979248047,10000.0
2015-03-19,175.48439025878906,10000.0
2015-03-20,177.0334014892578,10000.0
2015-03-23,176.68838500976562,10000.0
2015-03-24,175.69561767578125,10000.0
2015-03-25,173.12106323242188,10000.0
2015-03-26,172.70872497558594,10000.0
2015-03-27,173.1041259765625,10000.0
2015-03-30,175.21603393554688,10000.0
2015-03-31,173.6846923828125,10000.0
2015-04-01,173.070556640625,10000.0
2015-04-02,173.693115234375,10000.0
2015-04-06,174.8626251220703,10000.0
2015-04-07,174.3998565673828,10000.0
